time_s,temperature_C
2.11,21.208
2.12,23.483
2.13,21.25
2.14,23.189
2.15,20.567
2.16,20.519
2.17,22.098
2.18,21.513
2.19,23.481
2.2,22.446
2.21,26.351
2.22,21.451
2.23,21.432
2.24,19.4
2.25,22.057
2.26,23.707
2.27,20.149
2.28,21.876
2.29,23.796
2.3,21.683
2.31,20.702
2.32,24.433
2.33,22.243
2.34,22.991
2.35,24.928
2.36,24.863
2.37,21.132
2.38,
2.39,22.711
2.4,21.668
2.41,17.25
2.42,25.188
2.43,22.048
2.44,23.841
2.45,19.068
2.46,25.221
2.47,20.529
2.48,21.731
2.49,18.496
2.5,21.583
2.51,21.425
2.52,21.537
2.53,23.096
2.54,22.151
2.55,24.439
2.56,20.83
2.57,19.51
2.58,21.952
2.59,23.571
2.6,25.112
2.61,69.098
2.62,17.586
2.63,22.943
2.64,25.651
2.65,22.156
2.66,20.71
2.67,22.773
2.68,20.742
2.69,23.598
2.7,21.968
2.71,25.483
2.72,23.249
2.73,20.19
2.74,23.512
2.75,24.34
2.76,20.579
2.77,20.936
2.78,16.237
2.79,24.259
2.8,20.531
2.81,16.694
2.82,17.578
2.83,21.443
2.84,23.902
2.85,21.777
2.86,23.179
2.87,19.246
2.88,18.647
2.89,24.214
2.9,23.23
2.91,21.924
2.92,25.205
2.93,19.622
2.94,20.949
2.95,24.566
2.96,26.594
2.97,22.021
2.98,26.199
2.99,20.494
3.0,22.824
3.01,21.565
3.02,18.029
3.03,22.645
3.04,24.332
3.05,21.629
3.06,21.824
3.07,25.482
3.08,18.876
3.09,18.256
3.1,20.365
3.11,19.008
3.12,25.366
3.13,22.774
3.14,19.84
3.15,20.464
3.16,29.153
3.17,20.475
3.18,20.095
3.19,22.761
3.2,23.596
3.21,22.554
3.22,19.728
3.23,19.102
3.24,23.49
3.25,21.865
3.26,17.896
3.27,24.928
3.28,23.938
3.29,21.398
3.3,21.349
3.31,22.579
3.32,20.282
3.33,18.629
3.34,22.806
3.35,18.402
3.36,22.977
3.37,18.397
3.38,21.752
3.39,21.661
3.4,26.457
3.41,19.339
3.42,18.463
3.43,20.385
3.44,19.191
3.45,20.526
3.46,23.052
3.47,23.93
3.48,26.149
3.49,20.158
3.5,28.596
3.51,26.955
3.52,21.491
3.53,16.271
3.54,21.792
3.55,22.181
3.56,16.252
3.57,22.185
3.58,21.5
3.59,20.036
3.6,23.567
3.61,24.513
3.62,20.785
3.63,22.574
3.64,20.363
3.65,20.033
3.66,22.199
3.67,23.309
3.68,20.592
3.69,16.466
3.7,23.464
3.71,18.009
3.72,22.305
3.73,26.448
3.74,21.958
3.75,19.026
3.76,18.347
3.77,24.926
3.78,21.958
3.79,23.349
3.8,24.316
3.81,21.877
3.82,21.228
3.83,19.632
3.84,14.294
3.85,18.205
3.86,21.826
3.87,21.562
3.88,23.009
3.89,21.683
3.9,22.398
3.91,23.969
3.92,19.787
3.93,21.282
3.94,17.982
3.95,24.432
3.96,22.096
3.97,23.225
3.98,25.856
3.99,24.699
4.0,21.85
4.01,23.969
4.02,18.421
4.03,23.085
4.04,22.347
4.05,17.954
4.06,25.343
4.07,20.24
4.08,23.708
4.09,20.95
4.1,24.484
4.11,25.281
4.12,19.925
4.13,18.174
4.14,21.671
4.15,24.122
4.16,21.072
4.17,20.466
4.18,23.221
4.19,15.096
4.2,20.338
4.21,18.541
4.22,22.737
4.23,20.159
4.24,19.212
4.25,21.115
4.26,18.329
4.27,21.967
4.28,20.294
4.29,21.056
4.3,20.207
4.31,24.281
4.32,21.728
4.33,23.311
4.34,23.199
4.35,19.985
4.36,
4.37,22.873
4.38,22.784
4.39,21.003
4.4,20.933
4.41,23.964
4.42,27.455
4.43,19.925
4.44,23.336
4.45,21.084
4.46,23.962
4.47,23.096
4.48,24.65
4.49,15.013
4.5,20.497
4.51,19.53
4.52,21.73
4.53,20.19
4.54,20.398
4.55,23.705
4.56,26.755
4.57,14.94
4.58,21.224
4.59,22.78
4.6,22.012
4.61,21.137
4.62,18.616
4.63,19.643
4.64,23.812
4.65,24.689
4.66,22.242
4.67,19.91
4.68,22.239
4.69,21.4
4.7,23.364
4.71,22.296
4.72,20.446
4.73,
4.74,19.051
4.75,24.05
4.76,24.956
4.77,19.054
4.78,23.053
4.79,19.522
4.8,24.679
4.81,24.26
4.82,21.425
4.83,24.487
4.84,20.922
4.85,20.392
4.86,20.578
4.87,21.648
4.88,21.191
4.89,22.386
4.9,20.462
4.91,23.912
4.92,24.552
4.93,20.76
4.94,18.432
4.95,23.81
4.96,24.846
4.97,21.592
4.98,18.784
4.99,22.667
5.0,25.812
5.01,17.309
5.02,23.195
5.03,21.216
5.04,19.861
5.05,23.245
5.06,18.753
5.07,22.742
5.08,25.283
5.09,22.442
5.1,19.809
5.11,17.552
5.12,18.795
5.13,17.397
5.14,25.999
5.15,21.376
5.16,19.387
5.17,18.754
5.18,19.332
5.19,21.16
5.2,18.793
5.21,26.191
5.22,20.132
5.23,20.044
5.24,22.769
5.25,25.626
5.26,25.31
5.27,20.78
5.28,22.639
5.29,22.373
5.3,23.325
5.31,22.639
5.32,19.64
5.33,18.85
5.34,22.439
5.35,19.041
5.36,25.408
5.37,22.1
5.38,19.435
5.39,21.196
5.4,20.732
5.41,21.672
5.42,24.365
5.43,18.389
5.44,17.331
5.45,22.845
5.46,21.557
5.47,22.408
5.48,23.111
5.49,21.547
5.5,23.999
5.51,19.767
5.52,22.161
5.53,19.923
5.54,19.175
5.55,23.539
5.56,23.423
5.57,17.145
5.58,19.195
5.59,22.73
5.6,24.676
5.61,20.335
5.62,21.54
5.63,18.467
5.64,28.277
5.65,23.188
5.66,24.237
5.67,23.645
5.68,24.333
5.69,23.52
5.7,21.162
5.71,23.86
5.72,22.198
5.73,25.241
5.74,20.161
5.75,20.647
5.76,23.653
5.77,25.199
5.78,22.363
5.79,20.219
5.8,21.703
5.81,20.754
5.82,26.742
5.83,24.247
5.84,25.161
5.85,22.754
5.86,20.612
5.87,24.933
5.88,26.135
5.89,23.455
5.9,21.939
5.91,24.702
5.92,21.072
5.93,23.911
5.94,20.221
5.95,19.574
5.96,23.416
5.97,22.845
5.98,26.761
5.99,21.3
6.0,22.059
6.01,19.15
6.02,17.327
6.03,17.548
6.04,23.158
6.05,19.058
6.06,24.817
6.07,25.556
6.08,21.286
6.09,26.146
6.1,22.568
6.11,24.812
6.12,21.436
6.13,24.398
6.14,19.642
6.15,23.557
6.16,20.852
6.17,21.674
6.18,23.579
6.19,22.432
6.2,21.814
6.21,23.819
6.22,24.008
6.23,18.537
6.24,23.397
6.25,23.678
6.26,20.121
6.27,22.965
6.28,18.689
6.29,25.598
6.3,21.406
6.31,21.804
6.32,24.993
6.33,21.643
6.34,23.497
6.35,19.381
6.36,20.576
6.37,18.519
6.38,21.48
6.39,24.578
6.4,22.559
6.41,24.211
6.42,19.434
6.43,19.792
6.44,20.836
6.45,23.431
6.46,22.891
6.47,21.962
6.48,23.557
6.49,21.622
6.5,21.946
6.51,25.262
6.52,20.534
6.53,22.457
6.54,26.03
6.55,22.255
6.56,23.766
6.57,20.483
6.58,26.891
6.59,16.376
6.6,19.164
6.61,19.365
6.62,26.05
6.63,22.881
6.64,21.344
6.65,18.796
6.66,22.91
6.67,22.285
6.68,20.268
6.69,18.271
6.7,19.243
6.71,22.534
6.72,
6.73,22.183
6.74,21.621
6.75,17.578
6.76,22.122
6.77,19.419
6.78,22.104
6.79,23.163
6.8,20.311
6.81,19.442
6.82,24.484
6.83,22.879
6.84,20.408
6.85,14.499
6.86,21.877
6.87,23.573
6.88,24.804
6.89,20.305
6.9,20.392
6.91,20.893
6.92,24.095
6.93,19.063
6.94,21.718
6.95,19.686
6.96,22.671
6.97,18.113
6.98,22.94
6.99,20.758
7.0,21.44
7.01,23.314
7.02,24.86
7.03,17.758
7.04,24.509
7.05,23.395
7.06,21.263
7.07,25.51
7.08,22.472
7.09,25.234
7.1,20.518
7.11,19.833
7.12,25.062
7.13,27.411
7.14,23.584
7.15,24.228
7.16,20.815
7.17,64.09
7.18,21.435
7.19,25.751
7.2,17.349
7.21,20.762
7.22,17.214
7.23,22.271
7.24,24.186
7.25,18.893
7.26,20.977
7.27,25.314
7.28,73.082
7.29,18.902
7.3,18.709
7.31,16.963
7.32,23.933
7.33,20.135
7.34,24.627
7.35,24.168
7.36,20.35
7.37,20.68
7.38,23.947
7.39,22.374
7.4,22.67
7.41,17.882
7.42,24.244
7.43,70.984
7.44,16.326
7.45,20.458
7.46,23.055
7.47,27.243
7.48,21.068
7.49,18.676
7.5,27.309
7.51,22.401
7.52,21.347
7.53,19.31
7.54,19.49
7.55,25.697
7.56,21.323
7.57,20.655
7.58,20.725
7.59,25.92
7.6,20.526
7.61,23.57
7.62,22.665
7.63,22.598
7.64,19.807
7.65,23.646
7.66,26.022
7.67,21.87
7.68,19.701
7.69,18.772
7.7,22.477
7.71,21.32
7.72,21.739
7.73,
7.74,18.311
7.75,23.954
7.76,22.586
7.77,21.813
7.78,22.58
7.79,24.315
7.8,22.134
7.81,19.874
7.82,24.916
7.83,20.917
7.84,20.186
7.85,18.095
7.86,22.02
7.87,19.381
7.88,20.702
7.89,23.123
7.9,22.083
7.91,24.541
7.92,22.763
7.93,20.99
7.94,21.176
7.95,20.732
7.96,23.616
7.97,22.054
7.98,20.973
7.99,24.112
8.0,22.241
8.01,20.836
8.02,18.219
8.03,23.094
8.04,22.597
8.05,22.128
8.06,20.915
8.07,19.916
8.08,21.433
8.09,22.579
8.1,21.68
8.11,21.638
8.12,20.83
8.13,22.847
8.14,22.584
8.15,20.119
8.16,23.901
8.17,23.978
8.18,24.034
8.19,21.673
8.2,21.515
8.21,19.102
8.22,23.887
8.23,16.661
8.24,21.023
8.25,21.15
8.26,24.141
8.27,21.998
8.28,19.589
8.29,18.433
8.3,20.177
8.31,22.267
8.32,22.138
8.33,21.506
8.34,20.289
8.35,21.475
8.36,24.494
8.37,19.249
8.38,22.084
8.39,26.046
8.4,23.386
8.41,20.86
8.42,23.652
8.43,20.12
8.44,22.018
8.45,25.885
8.46,26.735
8.47,17.728
8.48,23.75
8.49,26.872
8.5,20.637
8.51,22.647
8.52,25.768
8.53,20.769
8.54,23.13
8.55,21.852
8.56,17.187
8.57,22.865
8.58,21.54
8.59,24.32
8.6,27.233
8.61,23.71
8.62,21.082
8.63,23.125
8.64,22.504
8.65,24.557
8.66,18.403
8.67,19.084
8.68,16.887
8.69,23.518
8.7,21.952
8.71,20.4
8.72,20.187
8.73,20.57
8.74,19.68
8.75,21.196
8.76,20.764
8.77,25.475
8.78,22.808
8.79,19.954
8.8,20.54
8.81,24.997
8.82,23.131
8.83,22.738
8.84,23.802
8.85,25.965
8.86,18.957
8.87,20.136
8.88,17.648
8.89,23.237
8.9,21.053
8.91,20.32
8.92,20.094
8.93,23.728
8.94,21.645
8.95,20.674
8.96,25.138
8.97,
8.98,18.839
8.99,28.487
9.0,21.081
9.01,20.641
9.02,20.181
9.03,21.658
9.04,23.957
9.05,23.884
9.06,23.36
9.07,21.303
9.08,18.275
9.09,22.707
9.1,25.797
9.11,24.673
9.12,21.579
9.13,24.006
9.14,21.036
9.15,
9.16,18.914
9.17,21.211
9.18,22.351
9.19,21.577
9.2,23.925
9.21,26.709
9.22,25.304
9.23,21.238
9.24,20.172
9.25,20.368
9.26,19.556
9.27,22.085
9.28,23.053
9.29,22.458
9.3,22.484
9.31,22.396
9.32,21.67
9.33,20.144
9.34,26.312
9.35,24.619
9.36,19.729
9.37,19.737
9.38,20.534
9.39,22.083
9.4,25.148
9.41,24.537
9.42,24.669
9.43,24.72
9.44,24.766
9.45,23.842
9.46,23.136
9.47,21.702
9.48,17.641
9.49,21.677
9.5,26.505
9.51,20.65
9.52,20.436
9.53,24.544
9.54,22.202
9.55,20.8
9.56,25.894
9.57,23.56
9.58,23.894
9.59,20.589
9.6,23.243
9.61,22.941
9.62,23.943
9.63,24.873
9.64,24.815
9.65,22.426
9.66,23.724
9.67,19.137
9.68,23.609
9.69,23.711
9.7,21.028
9.71,20.066
9.72,21.853
9.73,18.966
9.74,22.852
9.75,22.737
9.76,19.629
9.77,22.119
9.78,24.669
9.79,24.657
9.8,24.526
9.81,21.624
9.82,21.155
9.83,21.023
9.84,23.482
9.85,27.88
9.86,25.513
9.87,25.964
9.88,25.375
9.89,17.968
9.9,21.498
9.91,20.918
9.92,25.124
9.93,26.221
9.94,20.34
9.95,22.097
9.96,23.393
9.97,20.779
9.98,20.429
9.99,20.306
10.0,24.212
10.01,19.727
10.02,24.838
10.03,22.217
10.04,23.879
10.05,25.863
10.06,20.328
10.07,19.958
10.08,23.067
10.09,19.421
10.1,20.175
10.11,21.716
10.12,22.392
10.13,18.892
10.14,21.045
10.15,23.456
10.16,25.357
10.17,17.102
10.18,25.259
10.19,24.2
10.2,19.293
10.21,18.333
10.22,23.041
10.23,20.954
10.24,22.339
10.25,24.145
10.26,21.073
10.27,22.405
10.28,23.184
10.29,24.215
10.3,26.388
10.31,26.236
10.32,22.601
10.33,21.412
10.34,27.908
10.35,23.595
10.36,23.064
10.37,19.26
10.38,23.938
10.39,20.067
10.4,20.861
10.41,18.679
10.42,20.71
10.43,22.156
10.44,18.269
10.45,19.775
10.46,21.807
10.47,18.859
10.48,18.886
10.49,19.932
10.5,18.5
10.51,23.529
10.52,19.529
10.53,23.915
10.54,24.302
10.55,19.02
10.56,22.102
10.57,20.809
10.58,19.17
10.59,21.167
10.6,21.4
10.61,23.77
10.62,24.554
10.63,19.26
10.64,20.989
10.65,23.322
10.66,24.935
10.67,15.915
10.68,25.187
10.69,21.582
10.7,25.82
10.71,20.944
10.72,19.928
10.73,22.112
10.74,24.916
10.75,22.077
10.76,16.12
10.77,23.707
10.78,17.985
10.79,19.559
10.8,19.102
10.81,17.414
10.82,18.874
10.83,19.535
10.84,20.472
10.85,21.867
10.86,21.165
10.87,18.299
10.88,21.546
10.89,24.432
10.9,24.371
10.91,22.337
10.92,23.548
10.93,24.231
10.94,25.404
10.95,26.241
10.96,21.199
10.97,21.321
10.98,25.682
10.99,25.903
11.0,25.852
11.01,16.141
11.02,21.451
11.03,13.861
11.04,23.825
11.05,22.139
11.06,22.13
11.07,21.656
11.08,25.258
11.09,21.267
11.1,24.583
11.11,23.384
11.12,22.892
11.13,23.156
11.14,22.277
11.15,19.266
11.16,23.791
11.17,23.783
11.18,21.64
11.19,23.827
11.2,24.247
11.21,18.796
11.22,
11.23,20.892
11.24,19.737
11.25,22.806
11.26,19.892
11.27,20.914
11.28,22.613
11.29,22.875
11.3,22.804
11.31,27.585
11.32,20.741
11.33,22.625
11.34,18.985
11.35,23.203
11.36,24.884
11.37,25.035
11.38,20.41
11.39,21.301
11.4,25.156
11.41,21.767
11.42,24.397
11.43,19.569
11.44,25.458
11.45,24.568
11.46,23.16
11.47,20.004
11.48,21.601
11.49,22.378
11.5,22.659
11.51,21.738
11.52,21.454
11.53,22.481
11.54,25.489
11.55,16.98
11.56,18.57
11.57,18.138
11.58,20.283
11.59,17.649
11.6,23.383
11.61,22.239
11.62,21.366
11.63,20.296
11.64,22.392
11.65,22.446
11.66,22.826
11.67,20.177
11.68,23.623
11.69,18.329
11.7,25.124
11.71,14.308
11.72,20.516
11.73,18.994
11.74,23.974
11.75,18.287
11.76,26.555
11.77,18.139
11.78,27.071
11.79,23.12
11.8,22.077
11.81,23.089
11.82,27.481
11.83,24.233
11.84,16.417
11.85,24.986
11.86,22.579
11.87,17.957
11.88,23.901
11.89,18.972
11.9,22.453
11.91,22.583
11.92,20.379
11.93,23.619
11.94,19.446
11.95,22.478
11.96,20.632
11.97,21.543
11.98,26.807
11.99,22.28
12.0,19.282
12.01,
12.02,20.077
12.03,22.066
12.04,22.405
12.05,22.212
12.06,22.21
12.07,20.639
12.08,23.123
12.09,24.643
12.1,20.449
12.11,21.854
12.12,22.152
12.13,25.134
12.14,24.698
12.15,20.175
12.16,22.181
12.17,18.265
12.18,19.586
12.19,22.038
12.2,23.575
12.21,24.386
12.22,21.223
12.23,18.618
12.24,22.992
12.25,21.567
12.26,23.06
12.27,22.4
12.28,23.789
12.29,23.637
12.3,24.109
12.31,20.852
12.32,24.489
12.33,20.742
12.34,22.212
12.35,26.651
12.36,22.892
12.37,19.085
12.38,25.726
12.39,24.5
12.4,24.851
12.41,22.493
12.42,22.865
12.43,21.417
12.44,20.25
12.45,25.825
12.46,21.079
12.47,20.798
12.48,20.891
12.49,26.656
12.5,24.195
12.51,21.08
12.52,21.886
12.53,23.276
12.54,24.196
12.55,17.974
12.56,24.259
12.57,21.455
12.58,20.285
12.59,21.024
12.6,23.98
12.61,26.396
12.62,22.37
12.63,23.392
12.64,19.965
12.65,23.228
12.66,24.057
12.67,18.28
12.68,20.718
12.69,23.977
12.7,17.603
12.71,21.065
12.72,23.502
12.73,17.774
12.74,21.008
12.75,22.137
12.76,24.226
12.77,18.803
12.78,24.774
12.79,22.764
12.8,24.992
12.81,24.908
12.82,22.852
12.83,23.214
12.84,17.651
12.85,18.625
12.86,19.487
12.87,21.13
12.88,24.333
12.89,17.541
12.9,21.2
12.91,18.697
12.92,18.106
12.93,25.692
12.94,22.246
12.95,26.088
12.96,24.96
12.97,19.697
12.98,17.363
12.99,27.175
13.0,20.987
13.01,19.139
13.02,23.728
13.03,22.341
13.04,20.322
13.05,21.135
13.06,22.403
13.07,22.185
13.08,23.889
13.09,21.116
13.1,21.142
13.11,23.502
13.12,22.782
13.13,24.736
13.14,21.375
13.15,21.754
13.16,19.11
13.17,25.748
13.18,18.516
13.19,22.505
13.2,19.77
13.21,22.843
13.22,70.786
13.23,17.902
13.24,21.473
13.25,17.608
13.26,25.511
13.27,20.892
13.28,18.059
13.29,20.245
13.3,25.278
13.31,25.719
13.32,25.177
13.33,20.039
13.34,21.619
13.35,26.087
13.36,20.171
13.37,21.163
13.38,19.615
13.39,19.09
13.4,25.016
13.41,23.577
13.42,23.124
13.43,23.449
13.44,24.553
13.45,25.776
13.46,21.982
13.47,21.148
13.48,19.44
13.49,24.706
13.5,20.713
13.51,18.263
13.52,21.328
13.53,22.061
13.54,24.081
13.55,24.509
13.56,20.173
13.57,19.999
13.58,21.18
13.59,18.971
13.6,21.726
13.61,23.153
13.62,22.107
13.63,17.967
13.64,19.02
13.65,25.215
13.66,19.467
13.67,23.846
13.68,23.58
13.69,21.195
13.7,19.508
13.71,22.526
13.72,19.785
13.73,21.561
13.74,22.265
13.75,20.208
13.76,21.433
13.77,21.229
13.78,18.911
13.79,21.524
13.8,20.407
13.81,17.44
13.82,21.156
13.83,21.293
13.84,20.488
13.85,16.846
13.86,23.94
13.87,23.709
13.88,23.626
13.89,22.812
13.9,
13.91,22.307
13.92,19.681
13.93,27.469
13.94,20.698
13.95,23.669
13.96,18.119
13.97,19.051
13.98,20.659
13.99,23.756
14.0,23.369
14.01,22.72
14.02,17.365
14.03,24.828
14.04,19.685
14.05,26.039
14.06,26.665
14.07,24.065
14.08,24.471
14.09,18.847
14.1,28.453
14.11,22.545
14.12,24.499
14.13,19.855
14.14,21.837
14.15,19.033
14.16,21.4
14.17,22.039
14.18,22.64
14.19,25.49
14.2,23.202
14.21,22.609
14.22,22.096
14.23,27.026
14.24,20.552
14.25,24.971
14.26,17.097
14.27,19.806
14.28,23.026
14.29,21.597
14.3,29.518
14.31,28.449
14.32,18.202
14.33,19.323
14.34,21.645
14.35,26.351
14.36,24.842
14.37,22.818
14.38,18.464
14.39,19.89
14.4,15.291
14.41,18.163
14.42,23.072
14.43,23.98
14.44,18.748
14.45,22.279
14.46,26.075
14.47,22.419
14.48,21.245
14.49,23.541
14.5,23.331
14.51,22.214
14.52,20.674
14.53,20.952
14.54,22.239
14.55,20.64
14.56,25.346
14.57,24.245
14.58,24.732
14.59,27.082
14.6,25.961
14.61,25.558
14.62,22.94
14.63,21.53
14.64,27.764
14.65,
14.66,20.463
14.67,19.838
14.68,22.55
14.69,23.057
14.7,24.585
14.71,21.448
14.72,17.675
14.73,22.807
14.74,24.445
14.75,22.09
14.76,21.677
14.77,23.417
14.78,25.592
14.79,21.845
14.8,18.46
14.81,20.599
14.82,21.595
14.83,17.507
14.84,23.932
14.85,20.089
14.86,23.278
14.87,22.494
14.88,21.229
14.89,26.076
14.9,20.602
14.91,20.324
14.92,22.737
14.93,24.103
14.94,21.999
14.95,19.548
14.96,23.732
14.97,23.513
14.98,27.19
14.99,21.451
15.0,22.536
15.01,20.585
15.02,18.282
15.03,22.19
15.04,24.128
15.05,19.469
15.06,20.314
15.07,19.063
15.08,25.354
15.09,20.419
15.1,23.451
15.11,19.839
15.12,22.189
15.13,20.437
15.14,16.131
15.15,22.195
15.16,23.319
15.17,16.791
15.18,21.564
15.19,20.919
15.2,19.304
15.21,21.372
15.22,17.151
15.23,22.627
15.24,
15.25,18.846
15.26,21.836
15.27,25.563
15.28,22.306
15.29,20.704
15.3,19.724
15.31,22.445
15.32,
15.33,23.579
15.34,18.199
15.35,24.693
15.36,20.991
15.37,23.606
15.38,20.194
15.39,18.755
15.4,20.582
15.41,19.614
15.42,21.063
15.43,23.62
15.44,24.697
15.45,22.509
15.46,20.649
15.47,20.872
15.48,23.481
15.49,24.841
15.5,21.192
15.51,21.686
15.52,20.121
15.53,22.517
15.54,24.392
15.55,14.736
15.56,22.639
15.57,20.623
15.58,16.18
15.59,22.784
15.6,21.776
15.61,22.923
15.62,18.585
15.63,27.343
15.64,22.277
15.65,21.142
15.66,25.81
15.67,23.631
15.68,24.082
15.69,24.908
15.7,16.821
15.71,26.173
15.72,
15.73,22.714
15.74,24.307
15.75,20.219
15.76,22.795
15.77,23.907
15.78,21.895
15.79,23.237
15.8,17.985
15.81,19.02
15.82,19.125
15.83,22.928
15.84,31.357
15.85,22.657
15.86,21.63
15.87,21.839
15.88,24.458
15.89,23.785
15.9,19.133
15.91,24.543
15.92,21.94
15.93,24.048
15.94,17.003
15.95,18.113
15.96,23.492
15.97,17.498
15.98,22.974
15.99,22.845
16.0,22.364
16.01,22.889
16.02,22.664
16.03,23.118
16.04,20.984
16.05,21.945
16.06,29.323
16.07,24.842
16.08,23.53
16.09,22.981
16.1,20.181
16.11,22.567
16.12,21.383
16.13,24.365
16.14,19.712
16.15,16.092
16.16,20.599
16.17,23.742
16.18,28.147
16.19,24.563
16.2,19.554
16.21,21.452
16.22,19.623
16.23,21.533
16.24,19.757
16.25,17.89
16.26,23.111
16.27,22.489
16.28,21.573
16.29,22.866
16.3,27.083
16.31,22.293
16.32,21.054
16.33,24.165
16.34,17.895
16.35,23.884
16.36,20.064
16.37,19.958
16.38,22.275
16.39,26.181
16.4,20.136
16.41,24.381
16.42,22.945
16.43,18.523
16.44,24.291
16.45,19.934
16.46,18.325
16.47,20.021
16.48,20.182
16.49,23.48
16.5,20.17
16.51,25.734
16.52,22.553
16.53,20.204
16.54,19.914
16.55,22.57
16.56,16.926
16.57,16.558
16.58,19.788
16.59,23.574
16.6,22.448
16.61,22.054
16.62,21.465
16.63,16.556
16.64,21.187
16.65,17.562
16.66,24.088
16.67,21.978
16.68,21.775
16.69,22.997
16.7,22.807
16.71,22.581
16.72,22.87
16.73,20.527
16.74,18.661
16.75,22.854
16.76,25.616
16.77,24.529
16.78,21.464
16.79,23.53
16.8,20.9
16.81,22.961
16.82,20.48
16.83,22.351
16.84,27.007
16.85,23.931
16.86,25.746
16.87,20.066
16.88,20.285
16.89,21.901
16.9,23.392
16.91,21.479
16.92,24.533
16.93,20.624
16.94,25.4
16.95,24.421
16.96,19.21
16.97,23.457
16.98,21.44
16.99,24.547
17.0,20.656
17.01,22.778
17.02,23.364
17.03,15.115
17.04,17.299
17.05,22.32
17.06,21.684
17.07,24.539
17.08,22.565
17.09,18.823
17.1,22.821
17.11,20.124
17.12,21.426
17.13,20.727
17.14,22.871
17.15,18.445
17.16,19.199
17.17,16.439
17.18,27.36
17.19,19.503
17.2,19.84
17.21,19.113
17.22,20.389
17.23,20.904
17.24,23.536
17.25,22.44
17.26,22.821
17.27,20.522
17.28,21.817
17.29,25.044
17.3,21.943
17.31,22.764
17.32,16.925
17.33,23.291
17.34,22.644
17.35,25.219
17.36,15.118
17.37,22.055
17.38,21.678
17.39,22.19
17.4,20.402
17.41,22.495
17.42,23.722
17.43,22.076
17.44,21.228
17.45,21.428
17.46,20.988
17.47,22.056
17.48,20.16
17.49,16.975
17.5,25.34
17.51,17.554
17.52,21.648
